Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015
57,CO,1857.14,1241.52,1717.52,18,7.96,1,1002003,0.00,0.00,0.00,0.00,28.00,0.00,1946.52,3956.20,4849.72,6,4,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,4
53,CO,1812.44,916.44,1234.44,4,10.00,1,1002136,0.00,0.00,229.00,159.00,159.00,895.00,1816.44,2134.44,2363.44,5,5,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
64,CO,4560,.00,1627.00,10,10.00,1,1002220,59.00,0.00,0.00,0.00,0.00,0.00,1148.00,3913.00,3913.00,5,5,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
51,CO,4013.75,277.00,2270.24,19,9.74,1,1004940,118.00,149.00,149.00,149.00,159.00,537.00,1334.88,4743.68,5415.07,6,4,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3
41,CO,6522.26,4249.00,6522.26,36,0.00,0,1005108,0.00,0.00,0.00,354.00,848.00,0.00,4772.81,8354.07,8354.07,7,4,3,0,0,0,1,1,1,5,12,10,5,2,4,0,0,0,0,38
54,CO,4041.12,420.00,1696.14,19,9.47,1,1007614,0.00,0.00,0.00,0.00,138.00,0.00,420.00,1696.14,1903.12,1,1,0,0,1,1,1,1,1,2,1,2,0,0,0,0,0,2,0,3
61,CO,3382,425.00,1508.00,12,10.00,1,1007866,0.00,138.00,0.00,177.00,69.00,0.00,0.00,0.00,0.00,1,1,0,0,1,1,1,1,1,1,0,2,2,0,2,0,0,0,0,7
45,CO,3685.05,582.00,2012.00,19,10.00,1,1008634,149.00,196.00,0.00,295.00,207.00,0.00,582.00,2340.00,2389.00,4,1,3,0,1,0,1,1,1,4,1,3,1,0,0,0,0,0,0,9
25,CO,793,.00,665.00,11,10.00,1,1009709,59.00,69.00,0.00,236.00,0.00,0.00,367.80,1911.74,2984.42,5,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
45,CO,3683.8,1520.97,3683.80,22,9.20,1,1000286,0.00,0.00,0.00,0.00,138.00,0.00,1606.65,3882.18,3882.18,5,2,3,0,0,0,0,1,1,1,3,1,0,0,1,0,0,0,0,6
34,CO,1077,10.00,770.00,8,5.42,1,1001188,0.00,0.00,0.00,0.00,0.00,10.00,10.00,899.00,1037.00,4,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
51,CO,739,.00,.00,0,0.00,1,1001504,8.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
42,CO,5866.04,1977.00,3777.46,6,0.00,1,1001972,0.00,0.00,215.00,0.00,42.00,0.00,1977.00,3777.46,3894.37,6,3,3,0,0,1,0,1,1,2,1,1,1,1,1,0,0,0,0,7
44,CO,3147.52,420.00,1811.52,18,8.48,1,1010311,0.00,0.00,0.00,59.00,0.00,0.00,420.00,1811.52,1860.52,1,1,0,0,1,1,1,1,1,2,2,4,1,0,3,0,0,3,0,9
23,CO,428,.00,428.00,3,0.00,1,1011749,0.00,0.00,0.00,0.00,69.00,0.00,0.00,442.13,442.13,6,6,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,3
75,CO,1172.23,298.00,812.23,7,5.70,1,1012199,0.00,100.00,0.00,198.00,81.00,298.00,797.00,1411.23,1729.23,5,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45,CO,3431.89,1049.75,2033.00,25,10.00,1,1014716,0.00,0.00,0.00,0.00,0.00,0.00,2020.88,3926.61,4092.23,2,2,0,0,1,1,1,1,1,10,9,4,0,2,10,0,0,0,0,35
29,CO,2442,1028.00,2313.00,16,0.00,1,1014773,0.00,129.00,0.00,229.00,199.00,229.00,599.00,1944.00,2313.00,1,1,0,0,0,0,1,1,1,1,4,0,0,0,1,0,0,4,0,2
