SourceSystemName,Quantity,Price,HasResortCharge,PriceInCorporateCurrency,TotalUsageDays,PurchaserCustomerId,ProductOwnerCustomerId,ProductId,CalendarDate,SeasonName,ProductPackageName,Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustomerId,ProductFamily,ProductClass,ProductType,ProductId,ProductName,SourceSystemName
POS,1,409.00,0,409.00,9,7890494,7890494,9949,2015-09-21,Winter 2015/2016,ProductPackage - 3088,49,Golden,CO,80403,9881.07,2874.62,4399.33,False,26,NULL,DEN,0.00,True,True,1,7890494,Paid Pass,Unrestricted,ProductType - 70,9949,Product - 9949,POS
POS,1,239.00,0,239.00,3,7890454,7890456,11129,2015-09-21,Winter 2015/2016,ProductPackage - 3091,23,Golden,CO,80403,0,.00,.00,False,4,NULL,DEN,0.00,True,True,1,7890456,Paid Pass,Unrestricted,ProductType - 55,11129,Product - 11129,POS
POS,1,239.00,0,239.00,3,7890454,7890460,11129,2015-09-21,Winter 2015/2016,ProductPackage - 3091,8,Golden,CO,80403,0,.00,.00,False,4,NULL,DEN,0.00,True,True,1,7890460,Paid Pass,Unrestricted,ProductType - 55,11129,Product - 11129,POS
POS,1,239.00,0,239.00,3,4173612,4173614,11129,2015-09-04,Winter 2015/2016,ProductPackage - 3091,8,Golden,CO,80403,0,.00,.00,False,9,NULL,DEN,0.00,True,True,1,4173614,Paid Pass,Unrestricted,ProductType - 55,11129,Product - 11129,POS
POS,1,259.00,1,259.00,1,1484500,3836272,11129,2015-11-23,Winter 2015/2016,ProductPackage - 3091,12,Arvada,CO,80403,245.1,.00,245.10,False,8,NULL,DEN,3.90,True,False,1,3836272,Paid Pass,Unrestricted,ProductType - 55,11129,Product - 11129,POS
POS,1,259.00,1,259.00,0,1484500,3911161,11129,2015-11-23,Winter 2015/2016,ProductPackage - 3091,10,Arvada,CO,80403,0,.00,.00,False,8,NULL,DEN,3.33,True,False,1,3911161,Paid Pass,Unrestricted,ProductType - 55,11129,Product - 11129,POS
POS,1,389.00,1,389.00,4,1130880,1129628,9944,2015-09-22,Winter 2015/2016,ProductPackage - 3098,15,Golden,CO,80403,166.3,.00,146.45,False,33,NULL,DEN,0.00,True,True,1,1129628,Paid Pass,Unrestricted,ProductType - 54,9944,Product - 9944,POS
POS,1,409.00,0,409.00,11,3344422,3344422,9949,2015-09-21,Winter 2015/2016,ProductPackage - 3103,49,Golden,CO,80403,7697.52,1475.00,3754.00,False,11,NULL,DEN,10.00,True,True,1,3344422,Paid Pass,Unrestricted,ProductType - 70,9949,Product - 9949,POS
POS,1,409.00,0,409.00,10,3344422,2069279,9949,2015-09-21,Winter 2015/2016,ProductPackage - 3103,52,Golden,CO,80403,512,.00,335.00,False,11,NULL,DEN,10.00,True,True,1,2069279,Paid Pass,Unrestricted,ProductType - 70,9949,Product - 9949,POS
POS,1,409.00,1,409.00,11,1001783,1001783,9949,2015-09-20,Winter 2015/2016,ProductPackage - 3103,56,Golden,CO,80403,8447.14,2313.00,6307.14,False,16,NULL,DEN,10.00,True,True,1,1001783,Paid Pass,Unrestricted,ProductType - 70,9949,Product - 9949,POS
