Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015_x,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015,Pass_Winter_2015_y,actual_y,predicted_label,predicted_proba
31,CO,2329.47,372.9,1761.47,15,0.0,1,1834537,0.0,0.0,0.0,295.0,207.0,50.0,422.9,1811.47,2379.47,2,2,0,0,0,1,1,1,0,6,0,0,2,0,0,0,0,3,0,5,0,0,1,0.7926032
45,CO,1067.4,0.0,935.0,3,10.0,1,1850551,0.0,0.0,0.0,254.0,179.0,0.0,0.0,935.0,935.0,2,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0.024851536
60,CO,3653.62,0.0,507.62,3,10.0,1,1851940,0.0,487.0,148.0,495.0,0.0,0.0,0.0,507.62,655.62,6,4,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0.01105778
41,CO,2847.49,420.0,2289.49,17,10.0,1,1838767,0.0,0.0,59.0,0.0,138.0,0.0,420.0,2296.88,3470.88,3,3,0,0,1,0,1,1,1,3,6,0,0,0,0,0,0,3,0,6,1,1,1,0.9475911
23,CO,916.94,259.0,587.94,9,10.0,1,1839728,0.0,0.0,0.0,118.0,199.0,259.0,602.0,1089.94,1089.94,3,3,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0.2733769
25,CO,2278.84,43.84,1320.84,14,0.0,1,1924568,118.0,0.0,0.0,354.0,483.0,0.0,250.59,1663.34,1663.34,3,3,0,1,1,0,1,0,0,5,1,1,0,0,10,0,0,0,0,17,0,0,0,0.2792803
58,CO,5425.97,1438.12,3904.38,17,10.0,1,1924768,0.0,0.0,0.0,0.0,0.0,0.0,1438.12,3904.38,4051.38,8,6,2,0,0,1,1,1,1,2,2,2,3,0,4,0,0,0,0,13,1,1,1,0.9685309
44,CO,7976.0,1400.0,3533.0,35,0.0,1,1840782,0.0,0.0,0.0,0.0,239.0,0.0,1424.23,4228.59,4582.59,8,4,4,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,1,0.9655898
32,CO,5233.0,2378.0,4455.0,11,10.0,1,1853995,0.0,0.0,0.0,0.0,79.0,0.0,118.0,5855.24,5855.24,2,2,0,0,1,0,0,1,1,3,4,6,1,1,5,0,0,20,0,0,1,1,1,0.97090155
59,CO,5916.56,450.0,655.17,7,10.0,1,1856603,159.0,238.0,0.0,0.0,0.0,995.0,1406.0,2208.17,2208.17,5,4,1,1,1,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0.49652612
64,CO,359.2,192.35,242.35,11,0.0,1,1858426,0.0,0.0,0.0,10.0,0.0,0.0,192.35,242.35,286.43,9,9,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0.22976042
54,CO,3095.74,40.64,677.2,34,10.0,1,1843506,1112.0,69.0,0.0,118.0,435.0,0.0,691.46,4622.02,5144.02,8,5,3,1,0,1,0,0,0,3,1,9,0,1,4,0,0,0,0,18,0,0,0,0.13875538
22,CO,994.28,449.07,994.28,6,7.29,1,1844906,0.0,0.0,0.0,0.0,69.0,0.0,449.07,994.28,994.28,1,1,0,0,0,0,0,1,1,7,3,2,3,1,2,0,0,0,0,18,1,1,1,0.9451873
69,CO,4358.4,847.59,2086.7,33,10.0,1,1845269,413.0,345.0,0.0,118.0,0.0,0.0,1197.59,3500.72,3618.72,4,4,0,0,1,1,1,1,1,2,1,5,4,0,1,0,0,0,0,13,1,1,1,0.97085446
42,CO,6090.63,3096.28,4092.28,15,0.0,1,1933808,0.0,0.0,267.0,0.0,138.0,707.0,0.0,0.0,0.0,1,1,0,0,1,1,1,1,1,0,0,5,0,0,3,0,0,5,0,3,1,1,1,0.974878
34,CO,5174.61,1424.06,3299.61,19,9.36,1,1938379,0.0,429.0,0.0,218.0,0.0,119.0,1424.06,3498.61,4554.61,2,2,0,0,0,1,1,1,1,7,4,0,4,0,0,0,0,4,0,11,1,1,1,0.97174644
50,CO,1486.0,1098.0,1317.0,4,5.81,1,1864724,0.0,0.0,0.0,0.0,219.0,0.0,1098.0,1317.0,1317.0,3,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,1,1,0.69235
60,CO,4624.0,898.0,2452.0,88,9.14,1,1888943,0.0,0.0,0.0,118.0,0.0,0.0,2299.12,14015.26,16741.94,4,4,0,1,1,1,1,1,1,4,3,0,2,0,3,0,0,9,0,3,1,1,1,0.8894208
23,CO,388.99,0.0,388.99,38,9.87,1,1852430,0.0,0.0,0.0,158.0,158.0,0.0,849.28,8942.36,9609.36,4,4,0,0,0,0,0,1,0,4,0,3,0,2,8,0,0,17,0,0,0,0,0,0.032417465
53,CO,3098.0,384.0,1340.0,16,9.17,1,1943454,149.0,0.0,0.0,149.0,0.0,179.0,384.0,1191.0,1903.0,2,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0.7139244
46,CO,19240.05,4395.93,10553.3,41,10.0,1,1858362,605.0,458.04,871.0,59.0,552.0,0.0,4429.5,10880.28,13964.45,4,2,2,1,1,1,1,1,1,6,7,10,0,0,0,0,0,0,0,23,1,1,1,0.94813323
64,CO,1965.65,624.34,1345.88,4,10.0,1,1859591,0.0,0.0,417.0,198.0,129.0,0.0,932.34,1782.88,2501.65,4,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,1,1,0,0.45569575
47,CO,3476.66,1151.54,2635.58,8,10.0,1,1945533,298.0,298.0,0.0,318.0,0.0,0.0,1151.54,2635.58,2635.58,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.9124604
64,CO,3465.92,919.0,1451.92,13,10.0,1,1889876,0.0,159.0,79.0,0.0,0.0,0.0,919.0,1451.92,2019.92,3,3,0,0,1,1,1,1,1,2,2,1,0,1,0,0,0,0,0,6,1,1,1,0.9753946
49,CO,16401.41,83.14,7210.53,32,10.0,1,1892450,412.0,1211.74,207.0,326.45,138.0,0.0,83.14,7469.5,8482.26,3,1,2,0,1,1,1,1,0,5,5,6,0,0,1,0,0,0,0,17,0,0,1,0.58634895
50,CO,4201.48,1335.0,1861.2,9,10.0,1,1902947,4.44,172.0,14.92,0.0,375.0,477.0,1335.0,2404.31,2543.31,9,5,4,0,0,1,0,0,1,0,0,0,4,0,0,0,0,4,0,0,1,1,1,0.72614175
51,CO,738.0,0.0,738.0,2,5.82,1,1908092,0.0,0.0,0.0,0.0,269.0,0.0,0.0,738.0,738.0,8,5,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.01280168
58,CO,10236.0,2987.0,5499.0,19,8.74,1,1918389,0.0,458.0,0.0,0.0,0.0,0.0,3007.63,5653.38,6710.38,9,7,2,1,1,1,1,1,1,2,0,0,0,0,3,0,0,4,0,1,1,1,1,0.97350866
40,CO,3378.3,488.0,1378.3,7,0.0,1,1947348,295.0,69.0,0.0,0.0,69.0,0.0,488.0,1378.3,1777.3,2,2,0,1,1,1,1,1,1,6,2,3,1,0,0,0,0,0,0,12,1,1,1,0.9618751
55,CO,1466.0,149.0,388.0,3,3.47,1,1259146,0.0,0.0,55.0,0.0,239.0,149.0,149.0,388.0,518.0,2,1,1,0,1,1,0,0,0,1,2,0,1,0,0,0,0,2,0,2,0,0,0,0.055262547
44,CO,937.65,490.65,888.65,11,10.0,1,1259689,0.0,0.0,0.0,0.0,398.0,155.0,759.65,1574.65,1574.65,7,5,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,1,0.7428645
48,CO,4436.23,1572.46,4436.23,17,10.0,1,1251873,0.0,0.0,0.0,0.0,991.0,187.0,1614.4,4478.17,4478.17,5,4,1,0,0,0,0,1,1,10,7,2,0,0,0,0,0,0,0,19,1,1,1,0.9346522
39,CO,4943.78,1366.0,2160.93,6,0.0,1,1267282,0.0,338.0,0.0,0.0,0.0,179.0,1366.0,2172.21,2264.05,5,3,2,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,5,1,1,1,0.8816602
28,CO,716.0,0.0,429.0,8,10.0,1,1267368,0.0,0.0,287.0,0.0,0.0,0.0,1048.0,1906.0,2044.0,5,5,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,3,0,1,0,0,0,0.029864505
61,CO,914.56,7.08,210.56,14,6.27,1,1262058,59.0,138.0,138.0,177.0,0.0,0.0,1058.16,3870.46,4008.46,3,3,0,0,0,1,0,0,0,6,4,0,1,1,0,0,0,0,0,12,0,0,0,0.06868563
54,CO,1725.46,0.0,616.92,5,0.0,1,1262107,0.0,149.0,0.0,0.0,0.0,537.0,179.0,795.92,1203.92,1,1,0,0,0,1,1,1,0,3,3,2,2,1,1,0,0,0,0,12,0,0,0,0.03854561
56,CO,2753.0,1317.0,2753.0,5,0.0,1,1268157,0.0,0.0,0.0,0.0,59.0,0.0,1361.5,2797.5,2797.5,3,3,0,0,0,0,0,1,1,0,1,1,0,3,1,0,0,0,0,6,1,1,1,0.88515586
67,CO,1604.0,469.0,1176.0,13,10.0,1,1268323,0.0,229.0,199.0,657.0,0.0,0.0,469.0,1176.0,1176.0,3,1,2,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,4,1,1,1,0.8737299
44,CO,6261.65,1378.0,6261.65,26,10.0,1,1273393,0.0,0.0,0.0,357.0,591.0,0.0,1378.0,6263.32,7419.32,4,2,2,0,0,0,0,1,1,2,1,10,0,0,1,0,0,9,0,5,1,1,1,0.91942585
40,CO,6061.0,1253.0,3887.0,18,10.0,1,1274302,0.0,0.0,69.0,765.0,0.0,0.0,1810.0,4444.0,4951.0,3,2,1,0,1,0,1,1,1,2,2,0,0,0,1,0,0,5,0,0,1,1,1,0.93992037
51,CO,2553.0,0.0,1326.0,7,9.28,1,1274379,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1503.0,2809.0,4,4,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0.1274235
54,CO,2479.26,0.0,807.76,25,0.0,1,1271514,0.0,0.0,0.0,59.0,438.0,0.0,62.0,1802.76,3498.76,5,4,1,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,0.11373597
36,CO,7845.84,1164.95,5209.82,42,10.0,1,1277067,0.0,0.0,0.0,499.0,509.0,567.0,1164.95,5209.82,5622.84,1,1,0,0,0,0,1,1,1,2,3,1,0,0,1,0,0,6,0,1,1,1,1,0.93226904
53,CO,3470.4,84.41,3102.4,43,10.0,1,1277744,0.0,0.0,368.0,177.0,325.0,0.0,2395.97,8906.73,10178.73,4,2,2,0,0,0,1,0,0,5,5,1,0,3,3,0,0,0,0,17,0,0,0,0.27595112
41,CO,9905.24,3157.8,7246.24,31,10.0,0,1278151,0.0,0.0,0.0,449.0,647.0,549.0,3157.8,7246.24,8508.24,1,1,0,1,1,1,1,1,1,6,4,1,0,0,2,0,0,13,0,0,1,1,1,0.9680665
74,CO,2892.03,1412.42,2084.03,21,10.0,1,1275212,0.0,0.0,0.0,118.0,0.0,0.0,1821.42,3561.03,3999.03,3,3,0,0,0,1,1,1,1,0,2,1,1,0,0,0,0,4,0,0,1,1,1,0.9718919
57,CO,657.39,0.0,59.0,20,10.0,1,1280036,0.0,0.0,149.0,59.0,0.0,0.0,1623.0,3823.22,3902.61,4,4,0,0,0,0,1,0,0,0,3,1,1,1,1,0,0,1,0,6,0,0,0,0.02286069
36,CO,5874.78,1225.82,3639.78,7,10.0,0,1279360,0.0,197.0,0.0,0.0,158.0,0.0,1225.82,3639.78,4673.78,1,1,0,0,1,1,1,1,1,6,9,8,2,1,3,0,0,27,0,2,1,1,1,0.9596751
42,CO,5577.45,2307.0,5518.45,55,8.62,1,1279376,59.0,0.0,0.0,64.5,21.0,0.0,4435.02,10503.29,11300.29,4,2,2,0,0,0,0,1,1,4,3,2,2,1,0,0,0,0,0,12,1,1,1,0.92405385
41,CO,6915.85,738.0,3971.85,68,10.0,1,1282841,632.0,138.0,138.0,531.0,0.0,0.0,832.36,5227.12,6145.31,5,3,2,0,1,1,0,1,1,8,9,3,2,8,8,0,0,1,0,37,1,1,1,0.91802716
52,CO,1536.0,559.0,1028.0,3,3.05,1,1299275,0.0,0.0,149.0,0.0,0.0,0.0,559.0,1028.0,1028.0,4,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.7811444
29,CO,1442.37,95.37,633.37,20,10.0,1,1292334,0.0,0.0,0.0,0.0,69.0,0.0,2008.68,3189.28,3465.28,4,2,2,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,4,0,0,0,0.14118287
64,CO,2984.42,498.94,1480.42,12,7.41,1,1284295,118.0,0.0,0.0,0.0,69.0,0.0,498.94,1480.42,1549.42,4,3,1,0,1,1,1,1,1,0,3,2,0,0,0,0,0,2,0,3,1,1,1,0.94436264
48,CO,3352.69,0.0,2457.69,14,6.9,1,1284472,590.0,0.0,207.0,118.0,0.0,0.0,49.0,2506.69,3430.69,4,3,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0.20986648
56,CO,6514.78,577.0,2953.78,16,0.0,0,1301469,0.0,621.0,0.0,0.0,0.0,0.0,577.0,3825.31,3953.42,2,2,0,0,1,1,1,1,1,0,3,1,0,0,3,0,0,0,0,7,1,1,1,0.9635724
38,CO,2055.0,499.0,2055.0,9,0.0,1,1296724,0.0,0.0,0.0,0.0,69.0,0.0,499.0,2055.0,2055.0,2,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0.886938
30,CO,1228.0,0.0,1228.0,4,8.24,1,1298810,0.0,0.0,0.0,0.0,59.0,0.0,0.0,1228.0,1228.0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,4,1,1,0,0.045480937
48,CO,1631.0,0.0,1080.0,22,9.31,1,1313060,0.0,0.0,355.0,0.0,0.0,0.0,1736.78,4639.12,5545.12,6,3,3,0,0,0,1,0,0,3,1,3,1,0,0,0,0,0,0,8,0,0,0,0.116369344
80,CO,2227.0,309.0,1055.0,16,0.0,1,1313776,0.0,276.0,0.0,0.0,138.0,0.0,1406.0,3560.0,4388.0,7,6,1,0,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,3,1,1,1,0.58276093
76,CO,1034.68,0.0,824.68,6,0.0,1,1302935,0.0,0.0,210.0,0.0,0.0,0.0,0.0,824.68,1034.68,2,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,3,0,0,1,1,0,0.1099729
60,CO,1997.07,229.0,1599.07,11,10.0,1,1305589,0.0,757.0,0.0,158.0,0.0,229.0,229.0,1599.07,1698.07,4,3,1,0,0,0,0,1,0,1,2,3,0,0,0,0,0,1,0,5,0,0,1,0.5018694
27,CO,597.0,420.0,469.0,7,5.86,1,1334257,59.0,0.0,69.0,0.0,0.0,0.0,420.0,469.0,676.0,5,5,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,0,6,1,1,1,0.8350823
58,CO,1454.0,179.0,358.0,5,10.0,1,1319265,0.0,149.0,69.0,0.0,179.0,179.0,179.0,358.0,1305.0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0.072016895
40,CO,908.47,0.0,211.22,1,10.0,1,1329094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.22,211.22,2,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0.01738006
41,CO,1854.42,556.5,1681.5,0,7.77,1,1329503,0.0,0.0,0.0,198.0,0.0,0.0,1392.87,2368.87,2910.72,4,2,2,0,0,0,0,1,1,7,4,2,1,0,0,0,0,0,0,14,1,1,1,0.84964925
23,CO,1437.73,908.0,1437.73,6,0.0,1,1337969,0.0,0.0,0.0,0.0,69.0,0.0,908.0,1437.73,1437.73,2,2,0,0,0,0,0,1,1,0,1,1,1,0,3,0,0,1,0,5,1,1,1,0.90407616
70,CO,2629.72,528.94,1163.72,13,0.0,1,1354774,0.0,0.0,79.0,0.0,69.0,0.0,528.94,3525.31,3796.3,3,2,1,0,0,1,0,1,0,0,1,0,2,0,1,0,0,2,0,2,0,0,1,0.89431846
54,CO,4266.78,3373.0,3689.0,6,10.0,1,1333804,0.0,0.0,0.0,0.0,316.0,0.0,3379.07,3834.07,3834.07,6,3,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,1,1,1,0.730852
48,CO,8176.39,979.58,2750.55,36,10.0,1,1364432,271.0,184.0,534.0,59.0,0.0,0.0,1069.44,5203.21,6056.21,7,3,4,1,1,1,0,1,1,5,4,1,0,0,4,0,0,0,0,14,1,1,1,0.94831717
51,CO,1340.27,0.0,18.27,24,10.0,1,1358438,596.0,507.0,0.0,0.0,0.0,0.0,932.88,3810.33,4515.84,4,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0.024520949
60,CO,3422.39,942.04,3053.39,14,0.0,1,1371811,0.0,0.0,0.0,344.0,59.0,199.0,1002.5,3152.13,3152.13,4,2,2,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,1,1,1,0.89627135
63,CO,832.0,514.0,733.0,2,0.0,1,1371818,0.0,0.0,0.0,0.0,219.0,0.0,514.0,733.0,733.0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.6764656
70,CO,1871.92,49.0,877.92,13,0.0,1,1371855,0.0,0.0,298.0,0.0,636.0,179.0,358.0,1909.67,2007.67,2,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0.21859688
40,CO,1905.28,634.0,1121.0,7,7.96,1,1368531,139.0,0.0,280.0,149.0,159.0,358.0,634.0,972.0,1252.0,3,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0.62986416
60,CO,15546.31,1792.6,6926.72,120,7.09,1,1371876,531.0,844.0,375.0,118.0,414.0,0.0,1930.47,8512.86,10228.22,6,6,0,0,1,1,1,1,1,7,7,17,4,6,12,0,0,1,0,52,1,1,1,0.9614879
54,CO,3406.0,858.0,1641.0,12,0.0,1,1375144,0.0,0.0,237.0,177.0,207.0,0.0,867.46,3349.46,4405.46,5,5,0,1,1,1,0,1,1,2,2,0,0,0,5,0,0,0,0,9,1,1,1,0.95308423
36,CO,2093.5,159.0,647.5,6,8.46,1,1392508,0.0,0.0,79.0,159.0,100.0,159.0,159.0,647.5,726.5,1,1,0,1,1,1,0,1,0,1,0,2,0,1,1,0,0,1,0,4,0,0,0,0.109608054
52,CO,7551.44,988.0,3409.96,21,10.0,1,1372971,0.0,0.0,0.0,0.0,69.0,0.0,1014.47,3667.65,3814.65,4,3,1,0,1,1,1,1,1,0,0,1,0,0,2,0,0,0,0,3,1,1,1,0.9505495
46,CO,262.6,138.6,262.6,9,10.0,1,1400114,0.0,0.0,0.0,124.0,0.0,40.0,585.6,987.6,987.6,4,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0.12488432
55,CO,9571.83,1921.0,4540.0,22,10.0,1,1380661,575.0,0.0,0.0,236.0,0.0,0.0,1951.71,4570.71,6200.71,5,2,3,1,1,1,1,1,1,3,3,4,0,0,1,0,0,0,0,11,1,1,1,0.978212
42,CO,1175.0,0.0,1175.0,8,9.44,1,1381486,0.0,0.0,0.0,0.0,138.0,0.0,0.0,1643.75,1643.75,3,1,2,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,5,0,0,0,0.18864104
63,CO,5103.46,1508.41,2314.58,50,10.0,1,1404987,59.0,276.0,0.0,0.0,0.0,308.0,1508.41,2533.74,2610.33,3,3,0,0,1,1,1,1,1,5,3,1,0,0,3,0,0,0,0,12,1,1,1,0.97767043
56,CO,3367.39,155.24,1044.24,18,0.0,1,1405369,874.0,0.0,158.0,0.0,0.0,0.0,1372.24,4233.93,4841.99,4,4,0,0,0,1,1,1,0,2,3,1,0,0,1,0,0,0,0,7,0,0,0,0.3595705
22,CO,541.92,0.0,541.92,3,1.3,0,1394163,0.0,0.0,0.0,0.0,69.0,0.0,0.0,541.92,541.92,6,4,2,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0.0152449915
78,CO,3937.16,0.0,604.23,3,0.0,1,1405871,0.0,0.0,0.0,59.0,0.0,0.0,0.0,663.23,1212.65,3,2,1,1,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0.072178885
57,CO,7300.63,1432.06,5410.45,36,10.0,1,1405896,0.0,0.0,519.0,0.0,0.0,0.0,1577.95,5890.59,7781.27,4,3,1,0,0,1,1,1,1,3,0,2,0,0,0,0,0,0,0,5,1,1,1,0.959652
48,CO,4049.59,1498.56,2519.59,15,6.96,1,1405923,0.0,276.0,217.0,177.0,0.0,358.0,1498.56,2519.59,3393.11,6,4,2,0,1,1,1,1,1,5,3,2,3,1,7,0,0,0,0,21,1,1,1,0.97302735
68,CO,1382.55,7.55,844.55,23,10.0,1,1405955,0.0,447.0,0.0,59.0,0.0,0.0,177.92,2617.54,2729.41,4,2,2,0,1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0.32105553
50,CO,5842.26,147.0,4411.17,21,9.61,1,1537606,0.0,0.0,0.0,621.0,0.0,0.0,154.44,4418.61,4862.7,4,3,1,0,1,0,1,1,1,1,2,0,0,1,2,0,0,0,0,6,1,1,1,0.6077036
51,CO,2184.0,1018.0,1587.0,6,10.0,1,1544250,597.0,0.0,0.0,0.0,0.0,0.0,1315.92,1884.92,1884.92,4,4,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,3,1,1,1,0.7975672
54,CO,25573.69,3588.0,13327.72,44,10.0,1,1540298,496.0,215.0,155.0,149.0,217.0,269.0,3634.98,13934.35,17745.45,6,3,3,1,1,1,1,1,1,5,3,0,0,1,6,0,0,0,0,15,1,1,1,0.9639873
48,CO,7750.6,476.14,2786.57,30,10.0,1,1517241,382.33,4.74,158.0,287.0,145.0,0.0,476.14,2786.57,5292.5,2,2,0,1,1,1,1,1,1,1,2,1,0,0,4,0,0,0,0,8,1,1,1,0.9657309
35,CO,1669.75,314.0,1571.75,15,10.0,1,1522035,0.0,0.0,0.0,59.0,0.0,314.0,314.0,1571.75,1669.75,4,4,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,3,0,2,0,0,0,0.48381907
55,CO,1991.0,584.0,1991.0,20,9.35,1,1529057,0.0,0.0,0.0,0.0,0.0,584.0,1913.65,3897.59,3897.59,4,4,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,3,0,0,1,0.8752483
57,CO,10779.22,2111.72,6564.69,39,10.0,0,1532011,0.0,0.0,942.0,237.0,237.0,0.0,2111.72,7914.38,9422.41,4,4,0,0,1,1,1,1,1,0,9,9,7,1,3,0,0,29,0,0,1,1,1,0.96235377
30,CO,1331.54,592.54,1331.54,11,9.21,1,1532413,0.0,0.0,0.0,210.0,0.0,0.0,1021.54,2159.54,2159.54,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.9139154
43,CO,561.98,0.0,561.98,3,6.94,1,1535805,0.0,0.0,0.0,0.0,477.0,0.0,0.0,561.98,561.98,1,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0.015311976
44,CO,2490.31,0.0,2343.31,16,0.0,1,1535822,0.0,0.0,0.0,59.0,207.0,0.0,0.0,2352.51,2450.51,4,4,0,0,0,0,1,1,0,1,2,2,0,0,4,0,0,0,0,9,0,0,0,0.28685665
24,CO,797.0,0.0,458.0,4,10.0,1,1545670,0.0,0.0,0.0,0.0,59.0,0.0,0.0,487.68,487.68,7,7,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0.014452573
26,CO,651.0,0.0,651.0,4,8.23,1,1544637,0.0,0.0,0.0,194.0,138.0,0.0,0.0,651.0,651.0,3,3,0,0,0,0,0,1,0,6,1,1,0,0,2,0,0,0,0,10,0,0,0,0.023820322
49,CO,691.98,0.0,601.12,7,7.16,1,1547600,59.0,0.0,0.0,16.0,0.0,0.0,0.0,601.12,601.12,2,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.058745664
35,CO,775.07,49.0,775.07,9,8.38,1,1547675,0.0,0.0,0.0,0.0,69.0,0.0,49.0,775.07,775.07,2,1,1,0,0,0,1,0,0,3,1,2,1,0,1,0,0,0,0,8,0,0,0,0.27757102
30,CO,2499.81,647.79,1590.81,10,10.0,1,1549617,59.0,0.0,0.0,0.0,671.0,0.0,647.79,1631.1,1847.1,4,3,1,1,0,0,0,1,1,3,4,6,0,2,2,0,0,0,0,17,1,1,1,0.8768141
67,CO,1686.37,0.0,411.7,3,10.0,0,1547424,149.0,159.0,298.0,0.0,0.0,0.0,0.0,826.89,826.89,3,3,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.01965714
31,CO,832.91,0.0,244.91,4,10.0,1,1553209,0.0,0.0,0.0,59.0,179.0,0.0,0.0,244.91,244.91,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0.014195956
54,CO,5923.72,1407.0,1734.43,27,10.0,1,1550798,1113.0,138.0,0.0,177.0,138.0,0.0,1484.47,5232.85,6728.85,4,3,1,0,1,1,1,0,0,7,0,0,0,0,3,0,0,3,0,7,0,0,1,0.7904896
30,CO,844.0,0.0,539.0,4,4.48,0,1553340,0.0,100.0,0.0,0.0,100.0,0.0,0.0,539.0,539.0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.018868271
14,CO,2173.63,5.83,1012.29,77,7.65,1,1559273,0.0,0.0,0.0,0.0,0.0,0.0,36.11,3764.87,4949.98,3,1,2,0,0,1,0,0,0,6,5,4,0,4,11,0,0,1,0,29,0,0,0,0.18101443
49,CO,9816.29,1292.14,5162.21,23,10.0,1,1555664,387.0,159.0,181.5,0.0,215.0,459.0,0.0,0.0,0.0,1,1,0,1,1,1,1,1,1,8,4,3,0,2,3,0,0,2,0,18,1,1,1,0.97910607
12,CO,180.0,0.0,180.0,18,3.97,1,1561978,0.0,0.0,0.0,0.0,0.0,0.0,1357.0,4268.27,4890.5,7,3,4,0,0,0,1,0,0,0,2,1,0,1,1,0,0,2,0,3,0,0,0,0.028640812
40,CO,11182.06,4019.38,8981.06,50,10.0,1,1564764,0.0,207.0,252.0,118.0,138.0,0.0,6361.35,15712.13,17317.13,4,2,2,0,1,1,1,1,0,6,4,3,1,2,6,0,0,0,0,22,0,0,1,0.9526097
51,CO,1391.34,0.0,592.34,11,10.0,1,1564838,0.0,0.0,141.0,118.0,267.0,0.0,0.0,592.34,1391.34,3,2,1,0,0,0,1,1,0,1,1,1,4,0,2,0,0,4,0,5,0,0,0,0.09067903
