Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015_x,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015,Pass_Winter_2015_y,actual_y,predicted_label,predicted_proba
61,CO,2182.97,439.0,797.0,2,10.0,1,1055969,0.0,318.0,298.0,0.0,358.0,0.0,439.0,797.0,797.0,7,5,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0.44638637
46,CO,1154.7,58.06,1005.7,10,10.0,1,1059181,0.0,0.0,5.5,0.0,0.0,0.0,456.06,1403.7,1950.7,2,2,0,0,0,0,0,1,0,2,0,3,0,0,1,0,0,0,0,6,0,0,0,0.4584541
41,CO,4495.7,895.0,2094.1,10,0.0,1,1019995,39.4,287.0,308.0,0.0,159.0,0.0,895.0,2045.1,2312.1,1,1,0,0,0,0,1,1,0,3,2,1,0,1,1,0,0,0,0,8,0,0,1,0.9372874
60,CO,5279.35,2585.84,5279.35,19,10.0,1,1020410,0.0,0.0,0.0,275.0,0.0,602.0,2585.84,5279.35,5279.35,3,3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,3,1,1,1,0.9561016
43,CO,6437.8,838.83,5294.03,26,8.81,1,1024673,0.0,0.0,295.0,472.0,138.0,0.0,838.83,5294.03,6056.21,3,2,1,0,0,0,1,1,1,1,7,4,1,1,5,0,0,0,0,19,1,1,1,0.94028324
54,CO,4560.87,555.87,2120.87,10,8.26,1,1026746,278.0,298.0,149.0,149.0,318.0,537.0,555.87,2128.5,2277.5,4,4,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0.9114289
53,CO,3266.63,528.94,1550.63,11,6.87,1,1065279,0.0,0.0,0.0,0.0,69.0,0.0,528.94,1550.63,1989.63,2,2,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,2,1,1,1,0.9501646
51,CO,1414.0,867.0,1116.0,16,0.0,1,1066833,0.0,298.0,0.0,130.0,119.0,398.0,1790.37,3335.37,3335.37,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.7985102
89,CO,3969.77,649.0,2204.18,19,0.0,1,1028783,177.0,69.0,365.0,19.0,621.0,0.0,649.0,2204.18,2569.18,2,2,0,1,1,1,1,1,1,15,4,0,2,0,0,0,0,0,0,21,1,1,1,0.9849727
48,CO,1157.0,860.0,1157.0,0,3.79,1,1070852,0.0,0.0,0.0,0.0,199.0,0.0,1447.0,2434.05,3054.05,6,3,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,1,1,0.5317462
33,CO,5416.16,469.0,1609.85,33,6.54,1,1071504,0.0,705.6,276.0,0.0,276.0,0.0,1653.3,4470.68,4795.68,4,4,0,0,0,1,1,1,1,4,3,2,0,0,0,0,0,1,0,8,1,1,1,0.94404644
24,CO,1065.0,419.0,1065.0,15,10.0,1,1055552,0.0,0.0,0.0,177.0,0.0,0.0,1011.54,2835.24,3142.32,2,2,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,3,1,1,1,0.9047786
22,CO,1388.02,0.0,0.0,7,1.3,0,1061627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.02,1,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0.03522051
47,CO,2901.43,0.0,1447.0,8,4.75,1,1063458,0.0,0.0,79.0,0.0,0.0,0.0,1048.0,2548.57,2737.0,3,2,1,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0.13631982
60,CO,11751.58,2744.69,5626.63,34,10.0,1,1078347,590.0,40.08,13.32,236.0,138.0,0.0,2744.69,5626.63,6965.91,5,3,2,0,1,1,1,1,1,5,0,4,5,1,0,0,0,0,0,15,1,1,1,0.9807413
27,CO,1420.67,1092.67,1420.67,7,0.0,1,1057962,0.0,0.0,0.0,0.0,219.0,0.0,1092.67,1420.67,1420.67,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0.90662926
54,CO,4739.0,677.0,3078.0,8,10.0,1,1067995,0.0,276.0,0.0,218.0,159.0,358.0,677.0,3078.0,3078.0,3,3,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,0,0,4,1,1,1,0.87280667
35,CO,3119.89,503.94,2402.89,36,10.0,1,1078467,0.0,149.0,169.0,596.0,0.0,0.0,864.85,5299.33,5935.33,3,3,0,1,0,0,1,1,1,3,2,1,3,0,0,0,0,3,0,6,1,1,1,0.88642824
56,CO,6803.92,954.0,2157.26,17,10.0,1,1079167,0.0,0.0,513.0,59.0,138.0,0.0,959.0,2162.26,3014.14,4,4,0,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,3,1,1,1,0.9319198
52,CO,3054.74,0.0,629.74,3,10.0,1,1067473,625.0,0.0,0.0,0.0,179.0,0.0,0.0,629.74,678.74,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0.020609844
42,CO,2416.68,0.0,450.66,11,10.0,1,1069812,0.0,0.0,0.0,0.0,444.0,0.0,938.0,2109.34,2246.34,2,2,0,1,1,1,1,0,0,2,4,1,1,0,2,0,0,0,0,10,0,0,0,0.03949695
56,CO,7682.7,2314.24,3905.41,49,0.0,1,1090883,0.0,525.0,447.0,118.0,0.0,0.0,3353.37,8287.17,9151.17,6,6,0,1,1,1,0,1,1,0,2,0,3,2,5,0,0,0,0,12,1,1,1,0.96640575
47,CO,6164.68,1521.01,4512.68,35,0.0,1,1092598,295.0,262.0,148.0,354.0,0.0,0.0,1647.5,5087.05,6302.05,4,2,2,1,0,0,0,1,1,8,7,2,0,0,1,0,0,0,0,18,1,1,1,0.95063215
24,CO,792.0,319.0,526.0,21,0.0,1,1076880,59.0,0.0,207.0,0.0,207.0,0.0,897.54,2525.3,2784.78,3,2,1,0,0,0,0,0,1,5,1,0,0,0,2,0,0,0,0,8,1,1,1,0.56470513
54,CO,4743.0,658.0,2284.0,6,10.0,1,1102431,199.0,0.0,79.0,0.0,0.0,159.0,658.0,2284.0,3539.0,2,2,0,0,1,1,1,1,1,2,5,1,1,0,2,0,0,0,0,11,1,1,1,0.9490683
72,CO,5697.36,1880.48,3499.36,35,0.0,1,1078416,118.0,207.0,237.0,118.0,69.0,199.0,1886.04,4178.3,5017.24,4,4,0,1,1,1,1,1,1,6,0,0,0,0,7,0,0,0,0,13,1,1,1,0.9907103
