Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,Spend_Winter_2010,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5,Pass_Winter_2011
36,Longmont,CO,80501,2628.79,398.0,836.0,3.0,10.0,True,True,1.0,59.0,398.0,836.0,1038.96,1.0,1.0,0.0,1,3,5,0,0,1,2,0,0,0,0,11,0
71,Grand Lake,CO,80447,438.0,0.0,0.0,0.0,10.0,True,True,0.0,59.0,0.0,0.0,0.0,4.0,4.0,0.0,1,0,0,1,0,0,2,0,0,0,0,3,1
42,Denver,CO,80236,2818.15,49.0,1510.37,11.0,6.93,True,True,1.0,267.0,49.0,1510.37,1659.37,1.0,1.0,0.0,0,0,2,2,0,0,0,0,0,0,0,4,1
49,Littleton,CO,80129,20497.43,0.0,5318.12,87.0,6.41,True,True,1.0,0.0,2317.31,18079.86,18680.47,5.0,3.0,2.0,1,3,5,2,4,0,4,0,0,0,0,18,1
60,Louisville,CO,80027,7223.36,1345.5,3614.36,24.0,8.48,True,True,1.0,59.0,1724.5,5103.36,5348.36,6.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,1,1
54,Boulder,CO,80302,3887.0,389.0,1463.0,3.0,0.0,True,True,1.0,59.0,389.0,1463.0,1463.0,2.0,2.0,0.0,1,2,1,0,0,0,1,0,0,0,0,4,1
36,Denver,CO,80220,3174.24,0.0,1564.24,10.0,10.0,True,True,1.0,0.0,0.0,1564.24,1942.24,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,Denver,CO,80231,3197.0,653.0,1711.0,8.0,10.0,True,True,1.0,0.0,653.0,1711.0,1760.0,2.0,1.0,1.0,1,3,1,0,0,1,2,0,0,0,0,7,1
32,Loveland,CO,80537,2954.34,899.34,1468.34,3.0,10.0,True,False,1.0,59.0,899.34,1468.34,1957.34,7.0,4.0,3.0,1,3,1,0,2,2,0,0,0,0,0,8,0
29,Aurora,CO,80013,2478.0,0.0,863.0,10.0,0.0,True,True,1.0,59.0,0.0,863.0,865.2,2.0,2.0,0.0,0,5,0,0,0,0,4,0,0,0,0,9,1
64,Littleton,CO,80127,1418.55,191.35,961.55,7.0,7.9,True,True,1.0,149.0,191.35,713.55,961.55,2.0,2.0,0.0,0,1,2,0,0,0,0,0,0,0,0,3,0
26,Denver,CO,80204,2071.0,0.0,1018.0,5.0,10.0,True,True,1.0,177.0,358.0,1545.0,1585.0,4.0,4.0,0.0,0,0,0,0,0,0,3,0,0,0,0,3,1
21,Englewood,CO,80111,1497.7,0.0,159.0,3.0,0.0,True,True,1.0,0.0,0.0,370.48,762.18,3.0,3.0,0.0,1,0,1,2,0,0,1,0,0,0,0,4,1
57,Denver,CO,80203,2643.45,0.0,40.29,1.0,10.0,True,True,1.0,59.0,0.0,90.57,90.57,4.0,4.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1
45,Denver,CO,80202,14325.97,2371.83,4743.04,17.0,0.0,True,True,1.0,654.0,2371.83,4743.04,7161.24,1.0,1.0,0.0,1,9,2,8,0,2,2,0,0,0,0,23,1
59,Denver,CO,80209,37815.13,3344.19,11370.14,68.0,9.68,True,True,1.0,0.0,3399.78,11894.81,18914.31,4.0,4.0,0.0,1,0,0,0,0,4,3,0,0,0,0,7,1
62,Lyons,CO,80540,2618.32,487.43,725.32,17.0,10.0,True,True,1.0,59.0,489.96,2347.84,2583.84,4.0,4.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,Loveland,CO,80538,3930.0,998.0,2235.0,6.0,10.0,True,True,1.0,59.0,998.0,2235.0,2235.0,8.0,6.0,2.0,0,0,0,0,0,0,1,0,0,0,0,1,1
46,Denver,CO,80209,1757.05,0.0,604.05,26.0,10.0,True,True,1.0,236.0,1158.0,5439.45,6975.45,5.0,3.0,2.0,0,3,2,3,1,6,7,0,0,0,0,22,0
56,Grand Lake,CO,80447,2705.77,199.0,1008.0,7.0,10.0,True,True,0.0,177.0,199.0,1008.0,1057.0,1.0,1.0,0.0,0,0,2,1,0,0,0,0,0,0,0,3,1
33,Boulder,CO,80304,548.0,0.0,0.0,0.0,0.0,True,False,1.0,118.0,0.0,0.0,0.0,1.0,1.0,0.0,0,4,0,0,0,0,0,0,0,0,0,4,1
47,Castle Rock,CO,80104,1308.2,895.02,895.02,12.0,10.0,True,True,1.0,234.96,1463.1,1463.1,1463.1,5.0,3.0,2.0,0,0,1,2,1,0,0,0,0,0,0,4,0
47,Westminster,CO,80031,3894.73,0.0,1734.42,4.0,0.0,True,True,1.0,236.0,0.0,1734.42,1812.42,3.0,3.0,0.0,1,4,3,0,0,0,2,0,0,0,0,9,0
65,Arvada,CO,80003,1310.54,420.0,988.94,9.0,10.0,True,True,1.0,0.0,599.0,1167.94,1167.94,2.0,2.0,0.0,0,1,0,2,2,0,0,0,0,0,0,5,0
69,Denver,CO,80237,1953.0,648.0,1087.0,8.0,10.0,True,True,1.0,149.0,648.0,1087.0,1506.0,1.0,1.0,0.0,0,0,0,0,3,0,0,0,0,0,0,3,0
21,Littleton,CO,80123,364.0,0.0,0.0,0.0,0.0,0,0,80402,359.0,0.0,0.0,364.0,1.0,0.0,1.0,1,4,4,0,2,2,4,0,0,0,0,16,0
55,Littleton,CO,80120,7024.01,828.94,2143.74,26.0,0.0,True,True,1.0,236.0,1013.74,2422.05,3720.82,3.0,3.0,0.0,1,1,0,0,0,0,3,0,0,0,0,4,1
47,Parker,CO,80134,1276.0,0.0,878.0,1.0,2.78,True,True,1.0,796.0,0.0,878.0,878.0,2.0,2.0,0.0,0,2,0,0,0,0,0,0,0,0,0,2,0
45,Denver,CO,80211,1656.96,727.02,1188.96,8.0,9.44,True,True,1.0,59.0,727.02,1188.96,1188.96,3.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,Denver,CO,80223,1707.0,499.0,1628.0,3.0,10.0,True,False,1.0,0.0,908.0,2037.0,2116.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0
59,Golden,CO,80401,3577.4,937.0,1773.0,9.0,7.77,True,True,1.0,298.0,1451.67,3337.16,3337.16,4.0,3.0,1.0,1,2,0,0,0,0,0,0,0,0,0,2,0
47,Denver,CO,80205,2355.0,199.0,537.0,2.0,6.06,True,True,1.0,298.0,199.0,537.0,537.0,2.0,2.0,0.0,0,0,2,1,0,0,0,0,0,0,0,3,0
53,Broomfield,CO,80021,9073.35,918.96,4353.44,13.0,0.0,True,True,1.0,472.0,918.96,2921.36,4417.6,4.0,4.0,0.0,0,8,0,0,0,0,0,0,0,0,0,8,1
58,Littleton,CO,80127,4125.0,399.0,1780.0,14.0,10.0,True,True,1.0,472.0,399.0,1780.0,2347.0,1.0,1.0,0.0,0,0,3,3,0,0,2,0,0,0,0,8,1
45,Golden,CO,80402,1510.0,188.0,546.0,3.0,10.0,True,True,1.0,118.0,188.0,844.0,844.0,2.0,2.0,0.0,1,0,0,0,0,0,3,0,0,0,0,3,0
51,Denver,CO,80209,3973.08,0.0,5.08,8.0,0.0,True,True,1.0,0.0,1556.0,4088.08,4088.08,5.0,3.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1
40,Fort Collins,CO,80526,1426.0,0.0,0.0,0.0,0.0,True,True,1.0,199.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1
48,Denver,CO,80222,3553.0,0.0,1740.0,3.0,10.0,True,True,1.0,59.0,0.0,1758.23,1758.23,4.0,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,1
38,Morrison,CO,80465,815.03,0.0,0.0,0.0,0.0,True,False,1.0,59.0,0.0,0.0,397.03,1.0,1.0,0.0,1,3,2,0,0,0,2,0,0,0,0,7,0
36,Golden,CO,80401,588.0,0.0,370.0,2.0,10.0,True,True,1.0,149.0,0.0,740.0,878.0,2.0,2.0,0.0,0,0,1,0,0,0,1,0,0,0,0,2,0
66,Fort Collins,CO,80521,1380.81,478.06,1125.06,12.0,9.1,True,True,1.0,229.0,478.06,1125.06,1125.06,1.0,1.0,0.0,0,0,0,1,1,0,2,0,0,0,0,4,0
47,Golden,CO,80401,2966.0,98.0,1838.0,17.0,10.0,True,True,1.0,149.0,468.16,3846.92,4936.69,4.0,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0
29,Denver,CO,80210,1308.0,0.0,0.0,1.0,10.0,True,True,1.0,118.0,0.0,597.06,976.06,4.0,4.0,0.0,1,6,3,3,0,0,0,0,0,0,0,12,1
47,Greeley,CO,80634,5165.88,1617.33,2607.88,31.0,10.0,True,True,1.0,0.0,1734.51,2819.27,3595.27,4.0,2.0,2.0,1,2,3,3,0,1,4,0,0,0,0,13,1
37,Fort Collins,CO,80521,2172.72,473.29,934.02,23.0,10.0,True,True,1.0,298.0,1671.29,4692.83,4960.83,4.0,4.0,0.0,1,2,0,0,0,0,2,0,0,0,0,4,1
39,Denver,CO,80231,5690.83,948.83,2881.83,20.0,0.0,True,True,1.0,177.0,1117.83,3083.98,3221.98,5.0,3.0,2.0,0,0,1,2,0,0,1,0,0,0,0,4,1
32,Denver,CO,80205,835.0,0.0,0.0,25.0,0.0,True,True,1.0,149.0,1659.88,4283.07,5122.07,5.0,5.0,0.0,0,0,2,0,2,0,0,0,0,0,0,4,1
