Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,HouseholdIncome,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,HouseholdCreateDate,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5
42,Denver,CO,80236,2818.15,49.00,1510.37,False,11,NULL,DEN,6.93,True,True,1,1146235,267.00,0.00,149.00,0.00,0.00,0.00,49.00,1510.37,1659.37,NULL,1,1,0,2015-09-02 11:38:17.000,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,4
49,Littleton,CO,80129,20497.43,.00,5318.12,False,87,NULL,DEN,6.41,True,True,1,1131184,0.00,0.00,0.00,449.00,0.00,0.00,2317.31,18079.86,18680.47,NULL,5,3,2,2015-09-02 11:38:17.000,1,1,1,1,0,0,3,5,2,4,0,4,0,0,0,0,18
60,Louisville,CO,80027,7223.36,1345.50,3614.36,False,24,NULL,DEN,8.48,True,True,1,1842575,59.00,0.00,0.00,59.00,100.00,0.00,1724.50,5103.36,5348.36,NULL,6,4,2,2016-04-06 05:00:08.000,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
54,Boulder,CO,80302,3887,389.00,1463.00,False,3,NULL,DEN,0.00,True,True,1,1858430,59.00,0.00,0.00,0.00,0.00,0.00,389.00,1463.00,1463.00,NULL,2,2,0,2015-09-02 11:38:17.000,1,1,1,1,0,0,2,1,0,0,0,1,0,0,0,0,4
36,Denver,CO,80220,3174.24,.00,1564.24,False,10,NULL,DEN,10.00,True,True,1,1281580,0.00,100.00,149.00,0.00,0.00,0.00,0.00,1564.24,1942.24,NULL,2,1,1,2015-09-02 11:38:17.000,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44,Denver,CO,80231,3197,653.00,1711.00,False,8,NULL,DEN,10.00,True,True,1,2171863,0.00,0.00,49.00,0.00,0.00,0.00,653.00,1711.00,1760.00,NULL,2,1,1,2015-09-02 11:38:17.000,1,1,1,1,1,1,3,1,0,0,1,2,0,0,0,0,7
32,Loveland,CO,80537,2954.34,899.34,1468.34,False,3,NULL,DEN,10.00,True,False,1,2122434,59.00,0.00,0.00,0.00,0.00,0.00,899.34,1468.34,1957.34,NULL,7,4,3,2015-09-02 11:38:17.000,1,0,1,0,1,1,3,1,0,2,2,0,0,0,0,0,8
29,Aurora,CO,80013,2478,.00,863.00,False,10,NULL,DEN,0.00,True,True,1,1785260,59.00,0.00,0.00,394.00,69.00,0.00,0.00,863.00,865.20,NULL,2,2,0,2015-10-04 07:00:05.000,0,1,0,0,0,0,5,0,0,0,0,4,0,0,0,0,9
64,Littleton,CO,80127,1418.55,191.35,961.55,False,7,NULL,DEN,7.90,True,True,1,1959758,149.00,159.00,149.00,307.00,0.00,179.00,191.35,713.55,961.55,NULL,2,2,0,2016-04-21 05:00:07.000,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,3
26,Denver,CO,80204,2071,.00,1018.00,False,5,NULL,DEN,10.00,True,True,1,1435543,177.00,138.00,0.00,596.00,0.00,0.00,358.00,1545.00,1585.00,NULL,4,4,0,2015-09-02 11:38:17.000,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
21,Englewood,CO,80111,1497.7,.00,159.00,False,3,NULL,DEN,0.00,True,True,1,2062145,0.00,0.00,0.00,0.00,159.00,0.00,0.00,370.48,762.18,NULL,3,3,0,2015-09-02 11:38:17.000,1,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,4
57,Denver,CO,80203,2643.45,.00,40.29,False,1,NULL,DEN,10.00,True,True,1,1854795,59.00,207.00,0.00,0.00,0.00,0.00,0.00,90.57,90.57,NULL,4,4,0,2015-09-02 11:38:17.000,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
45,Denver,CO,80202,14325.97,2371.83,4743.04,False,17,NULL,DEN,0.00,True,True,1,22845853,654.00,300.00,207.00,531.00,0.00,716.00,2371.83,4743.04,7161.24,NULL,1,1,0,2016-08-13 03:00:09.000,1,1,1,1,1,1,9,2,8,0,2,2,0,0,0,0,23
59,Denver,CO,80209,37815.13,3344.19,11370.14,False,68,NULL,DEN,9.68,True,True,1,1133978,0.00,0.00,277.50,354.00,336.00,204.00,3399.78,11894.81,18914.31,NULL,4,4,0,2015-09-02 11:38:17.000,1,1,1,1,1,1,0,0,0,0,4,3,0,0,0,0,7
62,Lyons,CO,80540,2618.32,487.43,725.32,False,17,NULL,DEN,10.00,True,True,1,1077722,59.00,0.00,138.00,0.00,0.00,179.00,489.96,2347.84,2583.84,NULL,4,4,0,2016-03-24 05:00:07.000,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
42,Loveland,CO,80538,3930,998.00,2235.00,False,6,NULL,DEN,10.00,True,True,1,1927109,59.00,0.00,0.00,0.00,0.00,0.00,998.00,2235.00,2235.00,NULL,8,6,2,2015-09-02 11:38:17.000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
46,Denver,CO,80209,1757.05,.00,604.05,False,26,NULL,DEN,10.00,True,True,1,1143066,236.00,0.00,79.00,59.00,0.00,0.00,1158.00,5439.45,6975.45,NULL,5,3,2,2016-05-30 05:00:06.000,0,0,1,0,0,0,3,2,3,1,6,7,0,0,0,0,22
56,Grand Lake,CO,80447,2705.77,199.00,1008.00,False,7,NULL,DEN,10.00,True,True,0,2118401,177.00,0.00,0.00,0.00,0.00,199.00,199.00,1008.00,1057.00,NULL,1,1,0,2015-09-02 11:38:17.000,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,3
33,Boulder,CO,80304,548,.00,.00,False,0,NULL,DEN,0.00,True,False,1,1986001,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,1,1,0,2015-09-02 11:38:17.000,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
47,Castle Rock,CO,80104,1308.2,895.02,895.02,False,12,NULL,DEN,10.00,True,True,1,1539590,234.96,0.00,0.00,0.00,0.00,158.00,1463.10,1463.10,1463.10,NULL,5,3,2,2015-09-02 11:38:17.000,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,4
47,Westminster,CO,80031,3894.73,.00,1734.42,False,4,NULL,DEN,0.00,True,True,1,2121518,236.00,0.00,0.00,0.00,0.00,0.00,0.00,1734.42,1812.42,NULL,3,3,0,2015-09-02 11:38:17.000,1,0,0,0,0,0,4,3,0,0,0,2,0,0,0,0,9
65,Arvada,CO,80003,1310.54,420.00,988.94,False,9,NULL,DEN,10.00,True,True,1,1818293,0.00,0.00,149.00,0.00,129.00,0.00,599.00,1167.94,1167.94,NULL,2,2,0,2015-09-02 11:38:17.000,0,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,5
69,Denver,CO,80237,1953,648.00,1087.00,False,8,NULL,DEN,10.00,True,True,1,1428009,149.00,149.00,149.00,0.00,0.00,0.00,648.00,1087.00,1506.00,NULL,1,1,0,2015-09-02 11:38:17.000,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,3
21,Littleton,CO,80123,364,.00,.00,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7361844,359.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,364.00,NULL,1,0,1,2015-09-16 07:15:00.000,1,0,0,0,0,0,4,4,0,2,2,4,0,0,0,0,16
55,Littleton,CO,80120,7024.01,828.94,2143.74,False,26,NULL,DEN,0.00,True,True,1,1001698,236.00,218.00,149.00,0.00,0.00,0.00,1013.74,2422.05,3720.82,NULL,3,3,0,2015-09-02 11:38:17.000,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,4
47,Parker,CO,80134,1276,.00,878.00,False,1,NULL,DEN,2.78,True,True,1,1470582,796.00,0.00,0.00,0.00,0.00,0.00,0.00,878.00,878.00,NULL,2,2,0,2015-09-02 11:38:17.000,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2
45,Denver,CO,80211,1656.96,727.02,1188.96,False,8,NULL,DEN,9.44,True,True,1,2172733,59.00,0.00,0.00,0.00,0.00,0.00,727.02,1188.96,1188.96,NULL,3,1,2,2015-09-02 11:38:17.000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
26,Denver,CO,80223,1707,499.00,1628.00,False,3,NULL,DEN,10.00,True,False,1,1213869,0.00,0.00,79.00,200.00,0.00,0.00,908.00,2037.00,2116.00,NULL,1,1,0,2015-09-02 11:38:17.000,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
59,Golden,CO,80401,3577.4,937.00,1773.00,False,9,NULL,DEN,7.77,True,True,1,1144154,298.00,0.00,149.00,0.00,836.00,179.00,1451.67,3337.16,3337.16,NULL,4,3,1,2015-09-02 11:38:17.000,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2
47,Denver,CO,80205,2355,199.00,537.00,False,2,NULL,DEN,6.06,True,True,1,1169624,298.00,318.00,0.00,338.00,0.00,199.00,199.00,537.00,537.00,NULL,2,2,0,2015-09-02 11:38:17.000,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3
53,Broomfield,CO,80021,9073.35,918.96,4353.44,False,13,NULL,DEN,0.00,True,True,1,2118710,472.00,138.00,0.00,59.00,0.00,0.00,918.96,2921.36,4417.60,NULL,4,4,0,2015-09-02 11:38:17.000,0,1,1,1,1,1,8,0,0,0,0,0,0,0,0,0,8
58,Littleton,CO,80127,4125,399.00,1780.00,False,14,NULL,DEN,10.00,True,True,1,2104979,472.00,69.00,148.00,118.00,355.00,0.00,399.00,1780.00,2347.00,NULL,1,1,0,2015-09-02 11:38:17.000,0,1,1,1,1,1,0,3,3,0,0,2,0,0,0,0,8
45,Golden,CO,80402,1510,188.00,546.00,False,3,NULL,DEN,10.00,True,True,1,1055730,118.00,159.00,298.00,0.00,358.00,188.00,188.00,844.00,844.00,NULL,2,2,0,2015-09-02 11:38:17.000,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
51,Denver,CO,80209,3973.08,.00,5.08,False,8,NULL,DEN,0.00,True,True,1,1056557,0.00,69.00,0.00,0.00,0.00,0.00,1556.00,4088.08,4088.08,NULL,5,3,2,2015-09-02 11:38:17.000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
